Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
20240126M133UWA7648CX22PuS2	UWA.7648.CX22.Pu	Pu	v1 Fresh frozen (FF)	500 CP1403	7.0	REN001	M133	1/22/2024	58,799	32	23	6,323	6,323	Cantaloupe		* The following were using Vizgen's original 37C Fixation temperature:					Cantaloupe Z Drive, merfish13				2
20240126M134UWA7648CX22PuS6	UWA.7648.CX22.Pu	Pu	v1 FF	500 CP1403	7.0	REN002	M134	1/22/2024	61,204	29	20	6,182	6,182	Watermelon		Unless specified otherwise					Watermelon Z Drive, merfish12				3
20240202M135BICANRen3	UWA.7648.CX17.CaH	CaH	v1 FF	500 CP1403	7.4	REN003	M135	1/29/2024	98,903	53	34	8,374	8,374	Watermelon							Watermelon Z Drive, merfish12				4
20240209M138BICANRen4	UWA.7648.CX20.CaB	CaB	v1 FF	500 CP1403	6.3	REN004	M138	2/5/2024	88,619	23	17	4,256	4,256	Cantaloupe							Cantaloupe Z Drive, merfish13				5
20240216M139BICANRen5	UWA.7648.CX26.EC	EC	v1 FF	500 CP1403	6.4	REN005	M139	2/12/2024	55,380	33	24	3,417	3,417	Watermelon							Watermelon Z Drive, merfish16				6
20240223M140BICANRen6	UWA.7648.CX21.EC	EC	v1 FF	500 CP1403	6.3	REN006	M140	2/20/2024	63,821	29	21	3,352	3,352	Cantaloupe							Cantaloupe Z Drive, merfish15				7
20240223M141BICANRen7	UWA.7648.CX23.THM.01	THM	v1 FF	500 CP1403	7.1	REN007	M141	2/20/2024	85,227	17	13	1,120	1,120	Watermelon							Watermelon Z Drive, merfish16				8
20240229M143BICANRen8	UWA.7648.CX24.M1C	M1C	v1 FF	500 CP1403	7.5	REN008	M143	2/26/2024	65,175	217	85	16,066	16,066	Cantaloupe							Cantaloupe Z Drive, merfish15				9
20240229M144BICANRen9	UWA.7648.CX10.A46	A46	v1 FF	500 CP1403	7.7	REN009	M144	2/26/2024	81,220	252	99	20,287	20,287	Watermelon							Watermelon Z Drive, merfish16				10
20240308M148BICANRen10	UWA.7648.CX41.V1C	V1C	v1 FFPE+FF	500 CP1403	6.1	REN010	M148	3/4/2024	107,139	95	58	19,929	19,929	Watermelon							Watermelon Z Drive, merfish16				11
20240308M149BICANRen11 	UWA.7648.CX31.PPHC	PPHC	v1 FFPE+FF	500 CP1403	6.7	REN011	M149	3/4/2024	116,156	138	68	17,308	17,308	Watermelon							Watermelon Z Drive, merfish16				12
20240322M153BICANRen12	UWA.7648.CX04.A10(m)	A10	v1 FFPE+FF	500 CP1403	7.5	REN012	M153	3/13/2024	84,988	114	62	12,429	12,429	Cantaloupe							Cantaloupe Z Drive, merfish15				13
20240322M154BICANRen13	UWA.7648.CX07.A9	A9	v1 FFPE+FF	500 CP1403	7.8	REN013	M154	3/15/2024	105,421	213	95	24,781	24,781	Watermelon							Watermelon Z Drive, merfish16 (auto)				14
20240407M155BICANRen14	UWA.7648.CX22.Pu.R1	Pu	v1 FFPE+FF	500 CP1403	7.0	REN014	M155	3/19/2024	81,692	57	39	12,537	12,537	Honeydew		Putamen repeat with new FFPE+FF protocol, region chosen by Tati					Honeydew Z Drive, merfish14 (auto)				15
20240407M156BICANRen15	UWA.7648.CX18.A8	A8	v1 FFPE+FF	500 CP1403	7.1	REN015	M156	3/27/2024	55,523	83	47	6,710	6,710	Watermelon							Watermelon Z Drive, merfish16 (auto)				16
20240408M157BICANRen16	UWA.7648.CX17.A44	A44	v1 FFPE+FF	500 CP1403	6.9	REN016	M157	3/29/2024	58,731	210	96	16,927	16,927	Honeydew							Honeydew Z Drive, merfish14 (no-auto)				17
20240408M158BICANRen17	UWA.7648.CX23.THM.01.R1	THM	v1 FFPE+FF	500 CP1403	7.1	REN017	M158	3/26/2024	123,518	24	19	2,198	2,198	Watermelon							Watermelon Z Drive, merfish16 (auto)				18
20240503M165BICANRen18	UWA.7648.CX22.Pu.R2	Pu	v1 FFPE+FF	500 CP1403	7.0	REN018	M165	4/23/2024	39,214	45	31	9,256	9,256	Honeydew		Putamen repeats with new FFPE+FF protocol AND 1:2500 RNase inhibitor added during permeabilization and transportation, region chosen by Tati					Honeydew Z Drive, merfish14 (auto)				19
