Experiment Name	Invoice	Collaborator PI/Institute	Experiment Imaging Date	Sample type	Codebook (must have .csv)	Target Genes	Imaging Cartridge-Barcode, Lot#	Raw Data Location	Analysis Location (we now delete these folders)	Output Location	Priority/Issues	Analyzed By	Imaging area	measurementStartDateTime 	endDateTime 	Imaging Run Time (hh:mm:ss)	Summary Results	Description + Notes	Region Output Folders
M003		BICCN		human brain, MTG	none, smFISH	n/a	n/a	merfish1	n/a	n/a								Was on 	
20210921M004MTGS2		BICCN	9/21/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000218	-	Durian	Durian - storage/RNA_MERFISH/MERSCOPE/Vizgen_Output		MD	82.38 mm²				https://drive.google.com/file/d/13XCXETvzGo4L7d2tyHDHSsu9bFgjurh5/view?usp=sharing	This experiment was mislabelled as M004MTGS3; it is S2, not S3	
20210923M005MTGS3		BICCN	9/23/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000211	Grape 2	Durian	Durian - storage/RNA_MERFISH/MERSCOPE/Vizgen_Output		MD	76.35 mm²				https://drive.google.com/file/d/1cN16D-735mLB7fnSQ49rWtbuJGfsdJtF/view?usp=sharing		
20210925M009MTGS14		BICCN	9/25/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000214	Grape 2	Durian	Durian (Z:\RNA_MERFISH\MERSCOPE\Vizgen_Output)		MD	75.4 mm²					Image analysis run on Durian, no summary available.	
20210929M008MTGS13		BICCN	9/29/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000216	Grape 2	Durian	Durian - storage/RNA_MERFISH/MERSCOPE/Vizgen_Output		MD	58.91 mm²				https://drive.google.com/file/d/10vyEQeWXheX3pewzOSqPWtYJWmpyYeIQ/view?usp=sharing		
20211001M007BA10		BICCN	10/1/2021	human brain, BA10	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000209	Grape 1	-	-			30.14 mm²					Unable to locate tissue in the mosaic, 3 small regions randomly selected based off a possible bubble in the gel, results do not show any aparent tissue.	
20211006M010MTGS12		BICCN	10/6/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000212	Grape 1	Durian	Durian			69.45 mm²				https://drive.google.com/file/d/1xF1dLw_p-32UJV8eTZWljP6vUVQC-RqB/view?usp=sharing	Imaging for M010 started at 12:40pm, and completed at ~6:00 10/7/21.	
20211008M011MTGS11		BICCN	10/8/2021	human brain, MTG	codebook_0_VZG148_0.csv	285 genes	500 gene - 0010008202111310000212	-	Durian	Durian			48.06 mm²				https://drive.google.com/file/d/1unVMohuPr_lDC-PQ7y-Fculz4xcNdgzu/view?usp=sharing	Imaging for M011 started at 12:50pm, and completed by 8:30pm 10/9/21.	
20211029M012MSV006		Vizgen Beta Testing	10/29/2021	mouse brain	codebook_0_M22E1_0.csv	135 genes	140 gene - 0010012202201050000453	-	Durian	Durian			36.93 mm²				https://drive.google.com/file/d/12jVdBqcY_JsYygqPQlz9gTo8plXVBPzy/view?usp=sharing	Imaging took ~12 hours	
20211030M013MSV007		Vizgen Beta Testing	10/30/2021	mouse brain	codebook_0_M22E1_0.csv	135 genes	140 gene - 0010012202201050000455	-	Durian	Durian			23 mm²				https://drive.google.com/file/d/1ncW8LH2g2U7_5Mi9R9i87FtyXBkrHTcs/view?usp=sharing	M007 has a large bubble in gel that is covering a portion of the tissue, only 1 hemisphere remains. Image analysis interuppted. George relaunches	
