Sample ID	Tissue Type	Sample Thickness (um)	RIN	Protocol	Experiment Success	Verification Experiment ID	MERFISH Experiment ID	Experiment Start Date	Imaging Date	Mean TSCP of Regions  (tranx/FOV)	Median Transcript per Cell	Instrument	Notes						Experiment Name	Region 0 (tranx/FOV)	Region 1 (tranx/FOV)	Region 2 (tranx/FOV)	Region 3 (tranx/FOV)	Mean of Regions (tranx/fOV)
1016 Liver	Fresh frozen (mouse liver old female left)	12	7.2	v1 Fresh Frozen (v1 FF)	Good signal	M089		5/10/2023	05/16/2023			Cantaloupe							20230516M089MUSLiverSenT					
1021 Liver	Fresh frozen (mouse liver young female left)	12	7.7	v1 FF	Good signal	M090		5/10/2023	05/16/2023			Cantaloupe							20230516M090MUSLiverSenTS2					
1016 Colon	Fresh frozen (mouse colon old female left)	12, 16	8.2	v1 FF	OK	M096		6/13/2023	06/22/2023			Cantaloupe							20230622M096MUSColSenT					
1021 Colon	Fresh frozen (mouse colon young female left)	16	8.0	v1 FF	OK	M097		6/13/2023	06/22/2023			Watermelon	This slide had both 1016 and 1021 colon tissues on it						20230622M097MUSColSenT					
1016 Mam	Fresh frozen (mouse MG old female left)	16	7.7	v1 FF	Needs improvement	M093		6/13/2023	06/23/2023			Cantaloupe							20230623M093MUSMamSenT					
1021 Mam	Fresh frozen (mouse MG young female left)	16	7.3	v1 FF	Needs improvement	M095		6/13/2023	06/23/2023			Watermelon							20230623M095MUSMamSenT					
1029 Mam	Fresh frozen (mouse MG old female right)	16	7.0	v1 FF	Needs improvement	M102		7/6/2023	07/14/2023			Cantaloupe							20230714M102MUSMGSenT					
1040 Mam	Fresh frozen (mouse MG young female right)	16	4.8	v1 FF	Needs improvement	M103		7/6/2023	07/14/2023			Cantaloupe							20230714M103MUSMGSenT					
1259+1264 Brain	Fresh frozen (1259: mouse brain young female; 1264: mouse brain old female)	16	7.1; 7.2	v1 FF	Failed		M106	8/1/2023	08/07/2023	failed		Cantaloupe	Top: 1259 young, Bottom: 1264 old. Failed experiment from faulty imaging kit						20230807M106MUSBrSenTS2	failed				
1259+1264 Brain	Fresh frozen (1259: mouse brain young female; 1264: mouse brain old female)	16	7.1; 7.2	v1 FF	Bubbles		M107	8/1/2023	08/18/2023	48168		Cantaloupe	Top: 1259 young, Bottom: 1264 old. 1264 old brains not in imaging area. A lot of bubbles in the gel						20230818M107MUSBrSenTS4	41589.3	54746.8			48168
1259+1264 Brain	Fresh frozen (1259: mouse brain young female; 1264: mouse brain old female)	16	7.1; 7.2	v1 FF	Bubbles		M109	9/12/2023	09/18/2023	2754 (failed)		Cantaloupe	Top: 1259 young, Bottom: 1264 old. 1264 old brains not in imaging area. A lot of bubbles in the gel						20230918M109MUSBrSenTS1	648.8	2575.5	7366.8	423.8	2754
1259+1264 Brain	Fresh frozen (1259: mouse brain young female; 1264: mouse brain old female)	16	7.1; 7.2	v1 FF	Success		M110	9/12/2023	09/18/2023	91362	562	Watermelon	Top: 1259 young, Bottom: 1264 old. 1264 old brains not in imaging area						20230918M110MUSBrSenTS3	65599.6	107415.3	105490.8	86943.5	91362
1245+1012 Brain	Fresh frozen (1245: mouse brain young male; 1012: mouse brain old male)	16	7.2; 7.5	v1 FF	Success		M111	9/25/2023	09/29/2023	74908	528	Cantaloupe	Left: 1245 young, Right: 1012 old						20230929M111MusMBrSenTS1	74908.4				74908
1245+1012 Brain	Fresh frozen (1245: mouse brain young male; 1012: mouse brain old male)	16	7.2; 7.5	v1 FF	Failed		M112	9/25/2023	09/29/2023	92.1 (failed)		Watermelon	Left: 1012 old, Right: 1245 young. Failed experiment						20230929M112MusMBrSenTS2	38.1	146.1			92
1263+1257 Liver	Fresh frozen (1263: mouse liver young female; 1257: mouse liver old female)	12	7.6; 7.5	v1 FF	Success		M113	10/3/2023	10/08/2023	8201	69	Cantaloupe	Left: 1257 old, Right: 1263 young						20231008M113MUSLivSenTS1	9037.7	7365.1			8201
1263+1257 Liver	Fresh frozen (1263: mouse liver young female; 1257: mouse liver old female)	12	7.6; 7.5	v1 FF	Success		M114	10/3/2023	10/08/2023	12864	105	Watermelon	Top: 1263 young, Bottom: 1257 old						20231008M114MUSLivSenTS2	19925.6	5801.9			12864
1616+1617 Brain	Fresh frozen (1616: mouse brain young male; 1617: mouse brain old male)	16	7.5; 7.6	v1 FF	Success		M117	10/16/2023	10/20/2023	84627	611	Cantaloupe	Left: 1617 old, Right: 1616 young						20231020M117MUSMBrSenTS2	86179.9	83074			84627
1616+1617 Brain	Fresh frozen (1616: mouse brain young male; 1617: mouse brain old male)	16	7.5; 7.6	v1 FF	Failed		M116	10/16/2023	10/23/2023	failed		Cantaloupe	Left: 1617 old, Right: 1616 young. failed experiment, DELETED						20231023M116MUSMBrSenTS1					
1250+1251 Liver	Fresh frozen (1250: mouse liver young male; 1251: mouse liver old male)	12	7.3; 7.2	v1 FF	Success		M126	12/5/2023	12/13/2023	50144	337	Cantaloupe	M126						20231213M126MUSLivSenTS1	9916.9	53235.4	87279.1		50144
1250+1251 Liver	Fresh frozen (1250: mouse liver young male; 1251: mouse liver old male)	12	7.3; 7.2	v1 FF	Success		M127	12/5/2023	12/13/2023	78219	371	Watermelon	M127						20231213M127MUSLivSenTS2	73669.6	71304	89682.6		78219
1753+1754 Brain	Fresh frozen (1753: mouse brain young female; 1754: mouse brain old female)	12	6.9; 7.6	v1 FF	Failed		M147	2/27/2024	03/06/2024	4880		Cantaloupe	Region 1 is young and Region 2 is old						20240306M147MUSBrSenTS1					
1753+1754 Brain	Fresh frozen (1753: mouse brain young female; 1754: mouse brain old female)	12	6.9; 7.6	v1 FF	Success		M150	2/27/2024	03/06/2024	42094	362	Cantaloupe	Region 1 is young and Region 2 is old; in output folder Region 0 is old						20240306M150MUSBrSenTS2					
1755+1756 Brain	Fresh frozen (1755: mouse brain young female; 1756: mouse brain old female)	12	6.7; 7.2	v1 FF	Success		M151	3/11/2024	03/20/2024	36973	304	Honeydew	On DAPI image, Region 1 is young and Region 2 is old. In output folder, Region 0 is old and Region 1 is young						20240320M151MUSBrSenTS2					
1755+1756 Brain	Fresh frozen (1755: mouse brain young female; 1756: mouse brain old female)	12	6.7; 7.2	v1 FF	OK		M152	3/11/2024	03/22/2024	5380	24	Honeydew	On DAPI image, Region 1 is old and Region 2 is young. In output folder, Region 0 is young and Region 1 is old						20240322M152MUSBrSenTS1					
2008+2010 Liver	Fresh frozen (2008: mouse liver young female; 2010: mouse liver old female)	12	6.9; 6.7	v1 FF	Needs improvement		M161	4/10/2024	04/19/2024	1862	44	Honeydew	On DAPI image, Region 1 is young and Region 2 is old. In output folder, Region 0 is old and Region 1 is young						20240419M161MusLivSenTS1	1212.4	2511.2			1862
2008+2010 Liver	Fresh frozen (2008: mouse liver young female; 2010: mouse liver old female)	12	6.9; 6.7	v1 FF	Needs improvement		M162	4/10/2024	04/19/2024	7595	99	Watermelon	On DAPI image, Region 1 is young and Region 2 is old. In output folder, Region 0 is old and Region 1 is young						20240419M162MusLivSenTS3	1509	13681.7			7595
